,red,white,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.0,1.0,0.44025157232704404,0.17088607594936708,0.21686746987951808,0.8808510638297872,0.07364975450081833,0.4638472032742155,0.9973198896073489,0.7481296758104738,0.225,0.5906040268456376,6
1,0.0,1.0,0.3962264150943396,0.18987341772151897,0.20481927710843376,0.06808510638297872,0.08019639934533553,0.3601637107776262,0.9903456246450597,0.8229426433915212,0.245,0.6375838926174496,6
2,0.0,1.0,0.5094339622641509,0.17721518987341772,0.24096385542168677,0.2936170212765958,0.08183306055646482,0.2646657571623465,0.9914415805677051,0.8129675810473815,0.22,0.6778523489932885,6
3,0.0,1.0,0.4528301886792453,0.14556962025316456,0.1927710843373494,0.3617021276595745,0.09492635024549918,0.5075034106412005,0.9919397423507259,0.7955112219451372,0.2,0.6644295302013423,6
4,0.0,1.0,0.4528301886792453,0.14556962025316456,0.1927710843373494,0.3617021276595745,0.09492635024549918,0.5075034106412005,0.9919397423507259,0.7955112219451372,0.2,0.6644295302013423,6
5,0.0,1.0,0.5094339622641509,0.17721518987341772,0.24096385542168677,0.2936170212765958,0.08183306055646482,0.2646657571623465,0.9914415805677051,0.8129675810473815,0.22,0.6778523489932885,6
6,0.0,1.0,0.389937106918239,0.20253164556962025,0.0963855421686747,0.2978723404255319,0.07364975450081833,0.3710777626193724,0.991242315854497,0.7930174563591024,0.235,0.6442953020134228,6
7,0.0,1.0,0.44025157232704404,0.17088607594936708,0.21686746987951808,0.8808510638297872,0.07364975450081833,0.4638472032742155,0.9973198896073489,0.7481296758104738,0.225,0.5906040268456376,6
8,0.0,1.0,0.3962264150943396,0.18987341772151897,0.20481927710843376,0.06808510638297872,0.08019639934533553,0.3601637107776262,0.9903456246450597,0.8229426433915212,0.245,0.6375838926174496,6
9,0.0,1.0,0.5094339622641509,0.13924050632911392,0.25903614457831325,0.06382978723404255,0.07201309328968904,0.3519781718963165,0.9901463599318515,0.802992518703242,0.225,0.7382550335570469,6
10,0.0,1.0,0.5094339622641509,0.17088607594936708,0.2469879518072289,0.06170212765957447,0.05400981996726678,0.17189631650750342,0.9871573892337275,0.745635910224439,0.28,0.8053691275167785,5
11,0.0,1.0,0.5408805031446541,0.14556962025316456,0.24096385542168677,0.17872340425531916,0.05728314238952537,0.29740791268758526,0.9910430511412887,0.7830423940149627,0.265,0.6510067114093959,5
12,0.0,1.0,0.4968553459119497,0.11392405063291139,0.22289156626506024,0.05106382978723404,0.06546644844517185,0.20463847203274216,0.9883529775129771,0.7930174563591024,0.315,0.7248322147651007,5
13,0.0,1.0,0.4150943396226415,0.10126582278481013,0.24096385542168677,0.06382978723404255,0.07201309328968904,0.39017735334242837,0.987555918660144,0.8827930174563592,0.26,0.8322147651006712,7
14,0.0,1.0,0.5220125786163522,0.26582278481012656,0.3734939759036145,0.8191489361702128,0.06546644844517185,0.4693042291950887,0.9965228307545159,0.743142144638404,0.335,0.6510067114093959,5
15,0.0,1.0,0.4150943396226415,0.10759493670886076,0.22891566265060243,0.06382978723404255,0.05237315875613748,0.30559345156889495,0.9877551833733523,0.8104738154613467,0.275,0.7651006711409396,7
16,0.0,1.0,0.3962264150943396,0.30379746835443033,0.024096385542168676,0.04680851063829788,0.07528641571194762,0.27012278308321963,0.9891500363658102,0.8079800498753118,0.18,0.6442953020134228,6
18,0.0,1.0,0.46540880503144655,0.21518987341772153,0.25301204819277107,0.04680851063829788,0.05400981996726678,0.4665757162346521,0.9880540804431648,0.7780548628428928,0.265,0.7583892617449665,6
19,0.0,1.0,0.40880503144654085,0.1962025316455696,0.08433734939759037,0.3191489361702128,0.07201309328968904,0.36289222373806274,0.9918401099941218,0.802992518703242,0.25,0.6375838926174496,5
20,0.0,1.0,0.389937106918239,0.4177215189873418,0.2891566265060241,0.05106382978723404,0.04746317512274959,0.20463847203274216,0.9855632715280614,0.830423940149626,0.195,0.8590604026845637,8
21,0.0,1.0,0.4025157232704403,0.1962025316455696,0.22891566265060243,0.12340425531914893,0.062193126022913256,0.2783083219645293,0.987555918660144,0.7905236907730674,0.175,0.7382550335570469,7
22,0.0,1.0,0.42767295597484273,0.16455696202531644,0.25301204819277107,0.07234042553191489,0.08019639934533553,0.3328785811732606,0.9893493010790184,0.8653366583541148,0.24,0.7046979865771812,8
23,0.0,1.0,0.47798742138364775,0.4240506329113924,0.08433734939759037,0.06382978723404255,0.12111292962356791,0.4583901773533424,0.9900467275752474,0.7605985037406484,0.255,0.6241610738255033,5
24,0.0,1.0,0.4150943396226415,0.17088607594936708,0.2469879518072289,0.055319148936170216,0.0851063829787234,0.3874488403819918,0.9914415805677051,0.8528678304239402,0.235,0.6711409395973155,6
25,0.0,1.0,0.44025157232704404,0.1582278481012658,0.1927710843373494,0.3829787234042553,0.07528641571194762,0.6684856753069577,0.9918401099941218,0.8104738154613467,0.25,0.697986577181208,6
26,0.0,1.0,0.4339622641509434,0.15189873417721517,0.2108433734939759,0.0425531914893617,0.0851063829787234,0.39836289222373805,0.9893493010790184,0.8603491271820449,0.22,0.6711409395973155,6
27,0.0,1.0,0.44025157232704404,0.17721518987341772,0.23493975903614459,0.3702127659574468,0.08346972176759411,0.38472032742155526,0.9924379041337464,0.8428927680798005,0.265,0.7046979865771812,6
28,0.0,1.0,0.46540880503144655,0.17088607594936708,0.2891566265060241,0.04680851063829788,0.07692307692307693,0.3601637107776262,0.9877551833733523,0.7955112219451372,0.245,0.7785234899328859,6
29,0.0,1.0,0.4528301886792453,0.20253164556962025,0.21686746987951808,0.0851063829787234,0.05400981996726678,0.31105047748976805,0.9869581245205193,0.773067331670823,0.355,0.825503355704698,7
30,0.0,1.0,0.5345911949685535,0.15189873417721517,0.23493975903614459,0.44255319148936173,0.07201309328968904,0.3874488403819918,0.9937331247696002,0.7980049875311721,0.265,0.6711409395973155,6
31,0.0,1.0,0.5220125786163522,0.08860759493670886,0.20481927710843376,0.04680851063829788,0.06873977086743045,0.12824010914051842,0.9897478305054349,0.8653366583541148,0.2,0.6845637583892616,6
32,0.0,1.0,0.46540880503144655,0.1582278481012658,0.21686746987951808,0.08723404255319148,0.08183306055646482,0.2728512960436562,0.9883529775129771,0.7955112219451372,0.22,0.7248322147651007,6
34,0.0,1.0,0.36477987421383645,0.17088607594936708,0.12048192771084339,0.6361702127659574,0.07201309328968904,0.48840381991814463,0.9925375364903506,0.8403990024937656,0.185,0.6845637583892616,5
35,0.0,1.0,0.45911949685534587,0.17721518987341772,0.25903614457831325,0.07234042553191489,0.1309328968903437,0.33560709413369716,0.9868584921639152,0.7955112219451372,0.21,0.8590604026845637,5
36,0.0,1.0,0.40880503144654085,0.2468354430379747,0.13855421686746988,0.22978723404255322,0.08346972176759411,0.40654843110504774,0.9897478305054349,0.8079800498753118,0.175,0.6711409395973155,5
37,0.0,1.0,0.44025157232704404,0.2088607594936709,0.1927710843373494,0.05106382978723404,0.0867430441898527,0.3765347885402456,0.9869581245205193,0.7805486284289277,0.14,0.7516778523489932,6
38,0.0,1.0,0.45911949685534587,0.15189873417721517,0.23493975903614459,0.7638297872340425,0.09328968903436989,0.40654843110504774,0.9962239336847035,0.800498753117207,0.18,0.5771812080536912,5
39,0.0,1.0,0.45911949685534587,0.15189873417721517,0.23493975903614459,0.7638297872340425,0.09328968903436989,0.40654843110504774,0.9962239336847035,0.800498753117207,0.18,0.5771812080536912,5
40,0.0,1.0,0.42138364779874216,0.14556962025316456,0.23493975903614459,0.10638297872340426,0.2815057283142389,0.4311050477489768,0.9900467275752474,0.7755610972568578,0.18,0.6308724832214765,6
41,0.0,1.0,0.42138364779874216,0.15189873417721517,0.23493975903614459,0.12340425531914893,0.28314238952536824,0.42837653478854026,0.9900467275752474,0.773067331670823,0.17,0.6308724832214765,6
42,0.0,1.0,0.44025157232704404,0.1962025316455696,0.1566265060240964,0.3148936170212766,0.11292962356792145,0.43656207366984995,0.9917404776375175,0.7805486284289277,0.23,0.6577181208053692,6
43,0.0,1.0,0.4150943396226415,0.15189873417721517,0.16265060240963858,0.05957446808510638,0.09328968903436989,0.4147339699863574,0.9897478305054349,0.802992518703242,0.28,0.6375838926174496,6
44,0.0,1.0,0.42138364779874216,0.14556962025316456,0.1566265060240964,0.05957446808510638,0.09819967266775777,0.4201909959072306,0.9897478305054349,0.8079800498753118,0.28,0.6375838926174496,6
45,0.0,1.0,0.46540880503144655,0.11392405063291139,0.18674698795180725,0.05957446808510638,0.09492635024549918,0.45566166439290584,0.9894489334356226,0.7880299251870325,0.265,0.6711409395973155,7
46,0.0,1.0,0.389937106918239,0.2848101265822785,0.1566265060240964,0.1872340425531915,0.10310965630114567,0.5620736698499318,0.9903456246450597,0.8154613466334165,0.26,0.6577181208053692,4
47,0.0,1.0,0.389937106918239,0.2911392405063291,0.15060240963855423,0.1872340425531915,0.10801963993453356,0.5648021828103683,0.9902459922884557,0.8104738154613467,0.26,0.6577181208053692,5
48,0.0,1.0,0.44025157232704404,0.1962025316455696,0.1566265060240964,0.3148936170212766,0.11292962356792145,0.43656207366984995,0.9917404776375175,0.7805486284289277,0.23,0.6577181208053692,6
49,0.0,1.0,0.4339622641509434,0.12025316455696203,0.2108433734939759,0.2127659574468085,0.10965630114566285,0.4092769440654843,0.9913419482111011,0.8379052369077307,0.24,0.6577181208053692,5
50,0.0,1.0,0.4528301886792453,0.12025316455696203,0.18674698795180725,0.06808510638297872,0.10147299509001637,0.47203274215552526,0.9880540804431648,0.8354114713216958,0.22,0.785234899328859,6
51,0.0,1.0,0.4150943396226415,0.1582278481012658,0.1746987951807229,0.04680851063829788,0.11129296235679216,0.3383356070941337,0.9877551833733523,0.8329177057356608,0.29,0.7382550335570469,7
52,0.0,1.0,0.389937106918239,0.10126582278481013,0.1987951807228916,0.04680851063829788,0.09328968903436989,0.22373806275579808,0.9873566539469358,0.8279301745635911,0.23,0.7315436241610739,7
53,0.0,1.0,0.4025157232704403,0.11392405063291139,0.2108433734939759,0.0425531914893617,0.07364975450081833,0.2946793997271487,0.98745628630354,0.8254364089775562,0.175,0.7315436241610739,6
55,0.0,1.0,0.4339622641509434,0.1582278481012658,0.2108433734939759,0.055319148936170216,0.06382978723404255,0.5211459754433834,0.9871573892337275,0.7805486284289277,0.26,0.7382550335570469,6
56,0.0,1.0,0.4528301886792453,0.13291139240506328,0.20481927710843376,0.5063829787234043,0.07037643207855973,0.5811732605729877,0.9925375364903506,0.770573566084788,0.25,0.6442953020134228,6
57,0.0,1.0,0.3773584905660377,0.12025316455696203,0.1566265060240964,0.5276595744680851,0.07855973813420622,0.40109140518417463,0.9935338600563919,0.8229426433915212,0.18,0.5973154362416108,6
58,0.0,1.0,0.4150943396226415,0.24050632911392406,0.09036144578313253,0.1957446808510638,0.07201309328968904,0.21282401091405184,0.9894489334356226,0.7755610972568578,0.19,0.6845637583892616,6
59,0.0,1.0,0.46540880503144655,0.12658227848101267,0.21686746987951808,0.05106382978723404,0.062193126022913256,0.30286493860845837,0.9889507716526019,0.8379052369077307,0.17,0.6644295302013423,6
60,0.0,1.0,0.42767295597484273,0.13924050632911392,0.14457831325301204,0.20851063829787236,0.15057283142389524,0.33560709413369716,0.9914415805677051,0.7556109725685786,0.23,0.5771812080536912,6
61,0.0,1.0,0.3773584905660377,0.12025316455696203,0.1566265060240964,0.5276595744680851,0.07855973813420622,0.40109140518417463,0.9935338600563919,0.8229426433915212,0.18,0.5973154362416108,6
62,0.0,1.0,0.44025157232704404,0.2974683544303797,0.042168674698795185,0.04680851063829788,0.05728314238952537,0.4120054570259209,0.9873566539469358,0.7531172069825437,0.17,0.7046979865771812,5
63,0.0,1.0,0.4150943396226415,0.24050632911392406,0.09036144578313253,0.1957446808510638,0.07201309328968904,0.21282401091405184,0.9894489334356226,0.7755610972568578,0.19,0.6845637583892616,6
64,0.0,1.0,0.4528301886792453,0.15189873417721517,0.16265060240963858,0.05957446808510638,0.062193126022913256,0.3328785811732606,0.9890504040092061,0.7855361596009975,0.23,0.6912751677852349,6
65,0.0,1.0,0.389937106918239,0.22151898734177214,0.018072289156626505,0.05106382978723404,0.10474631751227496,0.3274215552523875,0.9897478305054349,0.802992518703242,0.27,0.610738255033557,5
66,0.0,1.0,0.4025157232704403,0.16455696202531644,0.14457831325301204,0.2723404255319149,0.06546644844517185,0.3383356070941337,0.9866592274507069,0.802992518703242,0.245,0.8456375838926175,7
67,0.0,1.0,0.42138364779874216,0.1582278481012658,0.0783132530120482,0.05106382978723404,0.06710310965630115,0.4747612551159618,0.9883529775129771,0.7830423940149627,0.21,0.6577181208053692,5
68,0.0,1.0,0.42138364779874216,0.14556962025316456,0.18674698795180725,0.08936170212765958,0.07528641571194762,0.26193724420190995,0.9889507716526019,0.830423940149626,0.32,0.7181208053691275,8
69,0.0,1.0,0.46540880503144655,0.15189873417721517,0.1746987951807229,0.4297872340425532,0.08183306055646482,0.286493860845839,0.9925375364903506,0.7805486284289277,0.175,0.6375838926174496,5
70,0.0,1.0,0.389937106918239,0.17088607594936708,0.25903614457831325,0.33191489361702126,0.0916530278232406,0.6657571623465212,0.9919397423507259,0.773067331670823,0.255,0.6040268456375839,6
71,0.0,1.0,0.42767295597484273,0.18987341772151897,0.13855421686746988,0.1957446808510638,0.09983633387888707,0.6507503410641201,0.9921390070639341,0.8279301745635911,0.3,0.6375838926174496,5
72,0.0,1.0,0.3773584905660377,0.17088607594936708,0.16867469879518074,0.20425531914893616,0.10310965630114567,0.548431105047749,0.9927368012035589,0.9201995012468829,0.355,0.6711409395973155,5
73,0.0,1.0,0.5408805031446541,0.14556962025316456,0.27710843373493976,0.0425531914893617,0.088379705400982,0.19645293315143247,0.9904452570016639,0.7356608478802993,0.245,0.610738255033557,6
74,0.0,1.0,0.42138364779874216,0.14556962025316456,0.18674698795180725,0.08936170212765958,0.07528641571194762,0.26193724420190995,0.9889507716526019,0.830423940149626,0.32,0.7181208053691275,8
75,0.0,1.0,0.46540880503144655,0.15189873417721517,0.1746987951807229,0.4297872340425532,0.08183306055646482,0.286493860845839,0.9925375364903506,0.7805486284289277,0.175,0.6375838926174496,5
76,0.0,1.0,0.4465408805031446,0.11392405063291139,0.21686746987951808,0.05957446808510638,0.07037643207855973,0.2373806275579809,0.9861610656676862,0.8129675810473815,0.185,0.8523489932885905,7
77,0.0,1.0,0.44025157232704404,0.20253164556962025,0.20481927710843376,0.055319148936170216,0.06873977086743045,0.1882673942701228,0.987555918660144,0.8254364089775562,0.325,0.8053691275167785,7
78,0.0,1.0,0.46540880503144655,0.11392405063291139,0.18072289156626506,0.374468085106383,0.10474631751227496,0.2810368349249659,0.9924379041337464,0.7331670822942644,0.28,0.6241610738255033,5
79,0.0,1.0,0.42138364779874216,0.34177215189873417,0.16867469879518074,0.22978723404255322,0.09819967266775777,0.286493860845839,0.991242315854497,0.8154613466334165,0.185,0.6040268456375839,5
